index,state,party,year,gold_topic,text
0,OK,R,2021,1,• Economic freedom is the cornerstone of individual liberty and the private sector and free market principles are the best to stimulate economic development rather than government subsidies or programs.
1,SD,D,2026,5,"Improvement in wages and benefits, regardless of full time, part time or seasonal employment status, with a living minimum wage of $22.50 per hour indexed to inflation, per fiscal year."
2,NH,R,2024,20,"We, the people of the New Hampshire Republican Party, pledge to our neighbors across our great, beautiful, and proud state, that we remain dedicated to maintaining a limited, affordable government, to lead with integrity, character and compassion, and to forever defend the freedom that has made the United States of America a beacon of hope for all people."
3,ID,R,2025,2,"WHEREAS, the United States of America was founded on the principle that all individuals are created equal and are entitled to equal protection under the law, without preferential treatment based on ideology, group identity, or political trends; and,"
4,MI,D,2019,20,"Our 2011 redistricting was done by a Republican Legislature and signed into law by a Republican governor––and the resulting gerrymander shows it. The general election should be more important than the primary election.  Inform Voters about the Party Affiliation of Supreme Court Candidates. Up to 40 percent of Michigan’s voters fail to cast a vote for any candidate for Michigan Supreme Court on the nonpartisan portion of the ballot. Most observers conclude the “drop-off” in voting for Supreme Court candidates is because voters are denied the most basic information needed when casting a ballot, i.e., whether the core values and sense of justice of a Supreme Court candidate and the party nominating him/her are similar to the voter’s. Most voters identify with the core values of their chosen party and its candidates. Political parties nominate candidates for the Michigan Supreme Court. Unlike other offices, Michigan law deprives voters of information on the ballot as to the party affiliation, and, hence, the values, of each Supreme Court candidate. We support laws to restore the requirement of full disclosure, printed on the ballot, of the identity of each political party together with the name of its chosen nominee for Supreme Court.  Democrats strongly support Michigan’s public universities facilitating efforts to register students to vote."
5,IN,D,2018,20,"6 The Indiana Democratic Party is working to restore trust in good government by sharing an aggressive, 7 results-based vision for how Indiana government can do much, much better."
6,IA,D,2025,15,Banks and Financial Institutions We support State 105. Financial liability for officials who intentionally break the law. 106. Fully disclosing competing and conflicting interests in financial transactions.
7,ID,R,2026,1,repealed. G. We support the total abolition of inheritance taxes. H. We support a comprehensive overhaul of the federal tax system requiring universal participation. I. We support the repeal of the 16th Amendment of the Constitution of the United States of America.
8,IL,R,2025,8,"WHEREAS, new technologies such as hydrogen fuel cells will continue to offer opportunities to provide power generation, energy efficiency and a cleaner environment;"
9,MI,D,2019,6,"● Make higher education available for all. Higher education is vital to succeed in the 21st century economy. While President Obama and Democrats in Washington, D.C. fight for more funding and affordable student loans, the misplaced priorities of the Republicans in Lansing include unwise cuts to higher education funding. We must increase higher education funding, not cut it. With the crushing burden of rising tuition and student debt, and given that Michigan has the 6th highest in- state tuition in the nation, Michigan Democrats support proposals at the federal and state level to make public higher education tuition free for working and middle class families and debt free for all students. ● Hold charter schools accountable. Since 1993, school choice has included charter schools, which are schools financed with public dollars. Democrats believe our State Board of Education should have the authority and resources to hold charter school authorizers accountable. Charter schools must conform to the same communication, freedom of information, financial disclosure, academic, collective bargaining, teacher certification and evaluation, and accessibility requirements as traditional public schools. We believe an essential step in enhancing accountability is to limit the involvement of private, for-profit companies managing charter schools."
